report_year,facility_id,jurisdiction_code,facility_name,registered_business_name,primary_anzsic_class_name,substance_id,substance_name,air_total_emission_kg,suburb,state,postcode,latitude,longitude,report_year_1,postalcode_2,pr_rank
2016/2017,529376,VIC,Alcoa Portland Aluminium,ALCOA PORTLAND ALUMINIUM PTY LTD,Aluminium Smelting,92,Particulate Matter ?2.5 ‘m (PM2.5),3782,Portland,VIC,3305,-38.376902,141.631055,10,33,
2016/2017,529376,VIC,Alcoa Portland Aluminium,ALCOA PORTLAND ALUMINIUM PTY LTD,Aluminium Smelting,70,Particulate Matter ?10.0 ‘m (PM10),56665,Portland,VIC,3305,-38.376902,141.631055,10,33,
2016/2017,529376,VIC,Alcoa Portland Aluminium,ALCOA PORTLAND ALUMINIUM PTY LTD,Aluminium Smelting,77,Sulfur dioxide,4603441,Portland,VIC,3305,-38.376902,141.631055,10,33,
2016/2017,596420,VIC,Dandenong South,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,20,Carbon monoxide,8853.818502,Dandenong South,VIC,3175,-38.0226,145.19592,10,31,
2016/2017,596420,VIC,Dandenong South,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,69,Oxides of Nitrogen,6871.732053,Dandenong South,VIC,3175,-38.0226,145.19592,10,31,
2016/2017,596420,VIC,Dandenong South,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),264.8202437,Dandenong South,VIC,3175,-38.0226,145.19592,10,31,
2016/2017,596420,VIC,Dandenong South,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),12298.78003,Dandenong South,VIC,3175,-38.0226,145.19592,10,31,
2016/2017,596420,VIC,Dandenong South,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,77,Sulfur dioxide,412.278979,Dandenong South,VIC,3175,-38.0226,145.19592,10,31,
2016/2017,534800,VIC,Laverton North,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,20,Carbon monoxide,9214.57424,Laverton North,VIC,3026,-37.826072,144.791287,10,30,
2016/2017,534800,VIC,Laverton North,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,69,Oxides of Nitrogen,7534.36297,Laverton North,VIC,3026,-37.826072,144.791287,10,30,
2016/2017,534800,VIC,Laverton North,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),321.3674158,Laverton North,VIC,3026,-37.826072,144.791287,10,30,
2016/2017,534800,VIC,Laverton North,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),10020.87091,Laverton North,VIC,3026,-37.826072,144.791287,10,30,
2016/2017,534800,VIC,Laverton North,ALEX FRASER ASPHALT PTY LTD,Other Petroleum and Coal Product Manufacturing,77,Sulfur dioxide,408.529624,Laverton North,VIC,3026,-37.826072,144.791287,10,30,
2016/2017,597036,VIC,Alfred Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),20,Carbon monoxide,863.14,Prahran,VIC,3181,-37.845331,144.982316,10,31,
2016/2017,597036,VIC,Alfred Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),69,Oxides of Nitrogen,1164.5,Prahran,VIC,3181,-37.845331,144.982316,10,31,
2016/2017,597036,VIC,Alfred Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),92,Particulate Matter ?2.5 ‘m (PM2.5),77.295,Prahran,VIC,3181,-37.845331,144.982316,10,31,
2016/2017,597036,VIC,Alfred Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),70,Particulate Matter ?10.0 ‘m (PM10),77.295,Prahran,VIC,3181,-37.845331,144.982316,10,31,
2016/2017,597036,VIC,Alfred Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),77,Sulfur dioxide,10.603275,Prahran,VIC,3181,-37.845331,144.982316,10,31,
2016/2017,588832,VIC,Caulfield Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),20,Carbon monoxide,1341.36,Caulfield,VIC,3162,-37.882289,145.01571,10,31,
2016/2017,588832,VIC,Caulfield Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),69,Oxides of Nitrogen,1715.8,Caulfield,VIC,3162,-37.882289,145.01571,10,31,
2016/2017,588832,VIC,Caulfield Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),92,Particulate Matter ?2.5 ‘m (PM2.5),119.158,Caulfield,VIC,3162,-37.882289,145.01571,10,31,
2016/2017,588832,VIC,Caulfield Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),70,Particulate Matter ?10.0 ‘m (PM10),119.158,Caulfield,VIC,3162,-37.882289,145.01571,10,31,
2016/2017,588832,VIC,Caulfield Hospital,ALFRED HEALTH,Hospitals (Except Psychiatric Hospitals),77,Sulfur dioxide,16.958899,Caulfield,VIC,3162,-37.882289,145.01571,10,31,
2016/2017,531306,VIC,Ararat Abattoir,ALINDARE PTY. LTD.,Meat Processing,92,Particulate Matter ?2.5 ‘m (PM2.5),107.6399807,Ararat,VIC,3377,-37.281461,142.918982,10,33,
2016/2017,531306,VIC,Ararat Abattoir,ALINDARE PTY. LTD.,Meat Processing,70,Particulate Matter ?10.0 ‘m (PM10),108.3193979,Ararat,VIC,3377,-37.281461,142.918982,10,33,
2016/2017,531306,VIC,Ararat Abattoir,ALINDARE PTY. LTD.,Meat Processing,77,Sulfur dioxide,13.93599781,Ararat,VIC,3377,-37.281461,142.918982,10,33,
2016/2017,534196,VIC,Bairnsdale Power Station,ALINTA DEBO PTY LTD,Fossil Fuel Electricity Generation,20,Carbon monoxide,11832.01,Bairnsdale,VIC,3875,-37.845372,147.580938,10,38,
2016/2017,534196,VIC,Bairnsdale Power Station,ALINTA DEBO PTY LTD,Fossil Fuel Electricity Generation,69,Oxides of Nitrogen,78261.85,Bairnsdale,VIC,3875,-37.845372,147.580938,10,38,
2016/2017,534196,VIC,Bairnsdale Power Station,ALINTA DEBO PTY LTD,Fossil Fuel Electricity Generation,92,Particulate Matter ?2.5 ‘m (PM2.5),4913.71,Bairnsdale,VIC,3875,-37.845372,147.580938,10,38,
2016/2017,534196,VIC,Bairnsdale Power Station,ALINTA DEBO PTY LTD,Fossil Fuel Electricity Generation,70,Particulate Matter ?10.0 ‘m (PM10),5095.71,Bairnsdale,VIC,3875,-37.845372,147.580938,10,38,
2016/2017,534196,VIC,Bairnsdale Power Station,ALINTA DEBO PTY LTD,Fossil Fuel Electricity Generation,77,Sulfur dioxide,454.95,Bairnsdale,VIC,3875,-37.845372,147.580938,10,38,
2016/2017,525130,VIC,Alpine MDF Ltd,ALPINE MDF INDUSTRIES PTY LTD,Reconstituted Wood Product Manufacturing,20,Carbon monoxide,35302.12001,Wangaratta,VIC,3677,-36.334349,146.372811,10,36,
2016/2017,525130,VIC,Alpine MDF Ltd,ALPINE MDF INDUSTRIES PTY LTD,Reconstituted Wood Product Manufacturing,69,Oxides of Nitrogen,133678.2,Wangaratta,VIC,3677,-36.334349,146.372811,10,36,
2016/2017,525130,VIC,Alpine MDF Ltd,ALPINE MDF INDUSTRIES PTY LTD,Reconstituted Wood Product Manufacturing,92,Particulate Matter ?2.5 ‘m (PM2.5),8451.280003,Wangaratta,VIC,3677,-36.334349,146.372811,10,36,
2016/2017,525130,VIC,Alpine MDF Ltd,ALPINE MDF INDUSTRIES PTY LTD,Reconstituted Wood Product Manufacturing,70,Particulate Matter ?10.0 ‘m (PM10),24460.12,Wangaratta,VIC,3677,-36.334349,146.372811,10,36,
2016/2017,525130,VIC,Alpine MDF Ltd,ALPINE MDF INDUSTRIES PTY LTD,Reconstituted Wood Product Manufacturing,77,Sulfur dioxide,9798.3328,Wangaratta,VIC,3677,-36.334349,146.372811,10,36,
2016/2017,529906,VIC,Footscray,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,20,Carbon monoxide,1265.420475,Footscray,VIC,3011,-37.814087,144.899557,10,30,
2016/2017,529906,VIC,Footscray,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,69,Oxides of Nitrogen,1502.699712,Footscray,VIC,3011,-37.814087,144.899557,10,30,
2016/2017,529906,VIC,Footscray,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,92,Particulate Matter ?2.5 ‘m (PM2.5),111.2615527,Footscray,VIC,3011,-37.814087,144.899557,10,30,
2016/2017,529906,VIC,Footscray,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,70,Particulate Matter ?10.0 ‘m (PM10),111.2890527,Footscray,VIC,3011,-37.814087,144.899557,10,30,
2016/2017,529010,VIC,Mulgrave,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,20,Carbon monoxide,874.0388502,Mulgrave,VIC,3170,-37.92283,145.15575,10,31,
2016/2017,529010,VIC,Mulgrave,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,69,Oxides of Nitrogen,1042.162863,Mulgrave,VIC,3170,-37.92283,145.15575,10,31,
2016/2017,529010,VIC,Mulgrave,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,92,Particulate Matter ?2.5 ‘m (PM2.5),75.945492,Mulgrave,VIC,3170,-37.92283,145.15575,10,31,
2016/2017,529010,VIC,Mulgrave,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,70,Particulate Matter ?10.0 ‘m (PM10),75.975192,Mulgrave,VIC,3170,-37.92283,145.15575,10,31,
2016/2017,529010,VIC,Mulgrave,ALSCO PTY LIMITED,Laundry and Dry-Cleaning Services,77,Sulfur dioxide,11.41273945,Mulgrave,VIC,3170,-37.92283,145.15575,10,31,
2016/2017,524914,VIC,Amcor Flexibles Asia Pacific - Moorabbin,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,20,Carbon monoxide,1826,Moorabbin,VIC,3189,-37.947072,145.060783,10,31,
2016/2017,524914,VIC,Amcor Flexibles Asia Pacific - Moorabbin,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,69,Oxides of Nitrogen,2340,Moorabbin,VIC,3189,-37.947072,145.060783,10,31,
2016/2017,524914,VIC,Amcor Flexibles Asia Pacific - Moorabbin,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,92,Particulate Matter ?2.5 ‘m (PM2.5),41.51,Moorabbin,VIC,3189,-37.947072,145.060783,10,31,
2016/2017,524914,VIC,Amcor Flexibles Asia Pacific - Moorabbin,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,70,Particulate Matter ?10.0 ‘m (PM10),41.51,Moorabbin,VIC,3189,-37.947072,145.060783,10,31,
2016/2017,524914,VIC,Amcor Flexibles Asia Pacific - Moorabbin,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,77,Sulfur dioxide,6.19,Moorabbin,VIC,3189,-37.947072,145.060783,10,31,
2016/2017,524220,VIC,Amcor Flexibles Asia Pacific - Nunawading,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,20,Carbon monoxide,2335,Mitcham,VIC,3132,-37.819277,145.184555,10,31,
2016/2017,524220,VIC,Amcor Flexibles Asia Pacific - Nunawading,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,69,Oxides of Nitrogen,2800,Mitcham,VIC,3132,-37.819277,145.184555,10,31,
2016/2017,524220,VIC,Amcor Flexibles Asia Pacific - Nunawading,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,92,Particulate Matter ?2.5 ‘m (PM2.5),158.25,Mitcham,VIC,3132,-37.819277,145.184555,10,31,
2016/2017,524220,VIC,Amcor Flexibles Asia Pacific - Nunawading,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,70,Particulate Matter ?10.0 ‘m (PM10),158.25,Mitcham,VIC,3132,-37.819277,145.184555,10,31,
2016/2017,524220,VIC,Amcor Flexibles Asia Pacific - Nunawading,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,77,Sulfur dioxide,23.59,Mitcham,VIC,3132,-37.819277,145.184555,10,31,
2016/2017,526082,VIC,Amcor Flexibles Asia Pacific - Oakleigh,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,20,Carbon monoxide,1395,Oakleigh,VIC,3166,-37.904393,145.096025,10,31,
2016/2017,526082,VIC,Amcor Flexibles Asia Pacific - Oakleigh,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,69,Oxides of Nitrogen,1749,Oakleigh,VIC,3166,-37.904393,145.096025,10,31,
2016/2017,526082,VIC,Amcor Flexibles Asia Pacific - Oakleigh,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,92,Particulate Matter ?2.5 ‘m (PM2.5),66.75,Oakleigh,VIC,3166,-37.904393,145.096025,10,31,
2016/2017,526082,VIC,Amcor Flexibles Asia Pacific - Oakleigh,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,70,Particulate Matter ?10.0 ‘m (PM10),66.75,Oakleigh,VIC,3166,-37.904393,145.096025,10,31,
2016/2017,526082,VIC,Amcor Flexibles Asia Pacific - Oakleigh,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,77,Sulfur dioxide,9.95,Oakleigh,VIC,3166,-37.904393,145.096025,10,31,
2016/2017,525452,VIC,Amcor Flexibles Asia Pacific - Port Melbourne,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,20,Carbon monoxide,1456,Port Melbourne,VIC,3207,-37.837341,144.915032,10,32,
2016/2017,525452,VIC,Amcor Flexibles Asia Pacific - Port Melbourne,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,69,Oxides of Nitrogen,1797,Port Melbourne,VIC,3207,-37.837341,144.915032,10,32,
2016/2017,525452,VIC,Amcor Flexibles Asia Pacific - Port Melbourne,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,92,Particulate Matter ?2.5 ‘m (PM2.5),35,Port Melbourne,VIC,3207,-37.837341,144.915032,10,32,
2016/2017,525452,VIC,Amcor Flexibles Asia Pacific - Port Melbourne,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,70,Particulate Matter ?10.0 ‘m (PM10),35,Port Melbourne,VIC,3207,-37.837341,144.915032,10,32,
2016/2017,525452,VIC,Amcor Flexibles Asia Pacific - Port Melbourne,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,77,Sulfur dioxide,5.24,Port Melbourne,VIC,3207,-37.837341,144.915032,10,32,
2016/2017,523842,VIC,Amcor Flexibles Asia Pacific - Preston,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,20,Carbon monoxide,2897,Preston,VIC,3072,-37.748243,145.026604,10,30,
2016/2017,523842,VIC,Amcor Flexibles Asia Pacific - Preston,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,69,Oxides of Nitrogen,3625,Preston,VIC,3072,-37.748243,145.026604,10,30,
2016/2017,523842,VIC,Amcor Flexibles Asia Pacific - Preston,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,92,Particulate Matter ?2.5 ‘m (PM2.5),106,Preston,VIC,3072,-37.748243,145.026604,10,30,
2016/2017,523842,VIC,Amcor Flexibles Asia Pacific - Preston,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,70,Particulate Matter ?10.0 ‘m (PM10),106,Preston,VIC,3072,-37.748243,145.026604,10,30,
2016/2017,523842,VIC,Amcor Flexibles Asia Pacific - Preston,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,Printing,77,Sulfur dioxide,16,Preston,VIC,3072,-37.748243,145.026604,10,30,
2016/2017,531318,VIC,Brooklyn Compressor Station,APA GASNET AUSTRALIA (OPERATIONS) PTY LIMITED,Gas Supply,20,Carbon monoxide,22633.611,Brooklyn,VIC,3012,-37.818705,144.831266,10,30,
2016/2017,531318,VIC,Brooklyn Compressor Station,APA GASNET AUSTRALIA (OPERATIONS) PTY LIMITED,Gas Supply,69,Oxides of Nitrogen,87301.071,Brooklyn,VIC,3012,-37.818705,144.831266,10,30,
2016/2017,531318,VIC,Brooklyn Compressor Station,APA GASNET AUSTRALIA (OPERATIONS) PTY LIMITED,Gas Supply,92,Particulate Matter ?2.5 ‘m (PM2.5),517.33968,Brooklyn,VIC,3012,-37.818705,144.831266,10,30,
